2025-4-23 12:20:56, 67%
2025-4-23 12:20:59, 67%
2025-4-23 12:21:2, 67%
2025-4-23 12:21:5, 67%
2025-4-23 12:21:8, 67%
2025-4-23 12:21:11, 67%
2025-4-23 12:21:14, 67%
2025-4-23 12:21:17, 67%
2025-4-23 12:21:20, 67%
2025-4-23 12:21:23, 67%
2025-4-23 12:21:26, 67%
2025-4-23 12:21:29, 67%
2025-4-23 12:21:32, 68%
2025-4-23 12:21:35, 67%
2025-4-23 12:21:38, 68%
2025-4-23 12:21:41, 68%
2025-4-23 12:21:44, 68%
2025-4-23 12:21:47, 68%
2025-4-23 12:21:50, 68%
2025-4-23 12:21:53, 68%
2025-4-23 12:21:56, 68%
2025-4-23 12:21:59, 68%
2025-4-23 12:22:2, 68%
2025-4-23 12:22:5, 68%
2025-4-23 12:22:8, 68%
2025-4-23 12:22:11, 68%
2025-4-23 12:22:14, 68%
2025-4-23 12:22:17, 68%
2025-4-23 12:22:20, 68%
2025-4-23 12:22:23, 68%
2025-4-23 12:22:26, 68%
2025-4-23 12:22:29, 68%
2025-4-23 12:22:32, 68%
2025-4-23 12:22:35, 68%
2025-4-23 12:22:38, 68%
2025-4-23 12:22:41, 68%
2025-4-23 12:22:44, 68%
2025-4-23 12:22:47, 68%
2025-4-23 12:22:50, 68%
2025-4-23 12:22:53, 68%
2025-4-23 12:22:56, 68%
2025-4-23 12:22:59, 68%
2025-4-23 12:23:2, 68%
2025-4-23 12:23:5, 68%
2025-4-23 12:23:8, 68%
2025-4-23 12:23:11, 68%
2025-4-23 12:23:14, 68%
2025-4-23 12:23:17, 68%
2025-4-23 12:23:20, 68%
2025-4-23 12:23:23, 68%
2025-4-23 12:23:26, 68%
2025-4-23 12:23:29, 68%
2025-4-23 12:23:32, 68%
2025-4-23 12:23:35, 68%
2025-4-23 12:23:38, 68%
2025-4-23 12:23:41, 68%
2025-4-23 12:23:44, 68%
2025-4-23 12:23:47, 68%
2025-4-23 12:23:50, 68%
2025-4-23 12:23:53, 68%
2025-4-23 12:23:56, 68%
2025-4-23 12:23:59, 68%
2025-4-23 12:24:2, 68%
2025-4-23 12:24:5, 68%
2025-4-23 12:24:8, 68%
2025-4-23 12:24:11, 68%
2025-4-23 12:24:14, 68%
2025-4-23 12:24:17, 68%
2025-4-23 12:24:20, 68%
2025-4-23 12:24:23, 68%
2025-4-23 12:24:26, 68%
2025-4-23 12:24:29, 68%
2025-4-23 12:24:32, 68%
2025-4-23 12:24:35, 68%
2025-4-23 12:24:38, 68%
2025-4-23 12:24:41, 68%
2025-4-23 12:24:44, 68%
2025-4-23 12:24:47, 68%
2025-4-23 12:24:50, 68%
2025-4-23 12:24:53, 68%
2025-4-23 12:24:56, 68%
2025-4-23 12:24:59, 68%
2025-4-23 12:25:2, 68%
2025-4-23 12:25:5, 68%
2025-4-23 12:25:8, 68%
2025-4-23 12:25:11, 68%
2025-4-23 12:25:14, 68%
